Year,DOY,NGDIV,EVI,LSWI2
1997,62,0.292011709,0.117469802,-0.042614685
1997,94,0.499635939,0.326612624,0.278057649
1997,126,0.623264267,0.468633787,0.411259907
1997,158,0.575224829,0.372074771,0.316184496
1997,174,0.553246677,0.349385891,0.293645285
1997,190,0.606060379,0.421851785,0.40888174
1997,206,0.568691426,0.370520426,0.337861761
1997,254,0.485743179,0.255257697,0.219404652
1997,270,0.332897438,0.181191976,-0.045805832
1997,286,0.26242944,0.102802731,0.276494458
1998,65,0.175088241,0.053010091,0.333053377
1998,129,0.381113791,0.176266162,0.426197649
1998,145,0.336738523,0.177506388,0.274690081
1998,177,0.464471759,0.240467888,0.425254354
1998,193,0.5429076,0.255444435,0.523816187
1998,209,0.649033357,0.349135109,0.610328982
1998,225,0.705707098,0.427386158,0.66951562
1998,241,0.724261645,0.443032369,0.676346839
1998,257,0.739080573,0.496988446,0.687513411
1998,289,0.691611458,0.465397434,0.607986849
1998,353,0.38644368,0.159307768,0.16018517
1999,68,0.285615248,0.105926713,0.002368738
1999,148,0.581882873,0.352827237,0.421967944
1999,164,0.654182167,0.412542452,0.514150857
1999,180,0.683765375,0.437638677,0.577708992
1999,196,0.71143892,0.493386334,0.643858454
1999,212,0.716368203,0.505237949,0.674776501
1999,228,0.727502262,0.509502699,0.672283214
1999,260,0.645865753,0.492323118,0.652445715
1999,276,0.57654063,0.433879467,0.581935858
1999,292,0.478102435,0.366112854,0.533313159
1999,308,0.517430383,0.31687631,0.426819544
1999,356,0.263721892,0.135701212,0.106628759
2000,7,0.259976569,0.127662951,0.058271203
2000,119,0.54989177,0.308417488,0.421458955
2000,167,0.593552152,0.367348156,0.440542985
2000,183,0.611756811,0.418197491,0.507663086
2000,199,0.640266328,0.435781685,0.559284654
2000,215,0.64558059,0.452703708,0.58427306
2000,231,0.707052294,0.480412115,0.601721592
2000,247,0.72133897,0.478559734,0.623434921
2000,263,0.671258624,0.430577173,0.572228891
2000,279,0.630637243,0.404916076,0.554424596
2000,295,0.560292024,0.324479014,0.399133299
2000,343,0.29301778,0.127565826,0.077306975
2001,73,0.394090571,0.202063864,0.131877727
2001,89,0.412076242,0.218783054,0.173550558
2001,121,0.559050629,0.310061845,0.359157203
2001,169,0.671269222,0.439852277,0.552402841
2001,217,0.70786287,0.4907454,0.620996011
2001,233,0.689957345,0.477753694,0.628206801
2001,249,0.663032959,0.447731014,0.581164647
2001,297,0.593972206,0.358171681,0.425082631
2001,345,0.393563187,0.175430638,0.185478123
2002,124,0.505009441,0.283309106,0.332776213
2002,156,0.67202009,0.40769196,0.507286421
2002,172,0.676192443,0.432944793,0.564586125
2002,188,0.701758823,0.484834045,0.619190293
2002,204,0.687539725,0.4754179,0.610903824
2002,220,0.678501477,0.4655508,0.614402514
2002,236,0.671243594,0.476342226,0.631129499
2002,252,0.683544552,0.458630104,0.601556402
2002,268,0.659770791,0.43838012,0.566729806
2002,300,0.550708677,0.33318685,0.426018654
