"YR","DOY","NDVI","EVI","bnd3.ref","bnd7.ref","bnd2.ref","bnd1.ref","QC","LSWI2"
2001,15,5922,0.2825,0.0263,0.1366,0.1984,0.0508,0,0.184477611940299
2001,17,5836,0.286,0.0275,0.1514,0.2054,0.054,0,0.151345291479821
2001,35,6279,0.369,0.0297,0.1286,0.2722,0.0622,0,0.358283433133732
2001,58,7268,0.4156,0.0173,0.0983,0.2794,0.0442,0,0.479481069631983
2001,72,7577,0.4722,0.0192,0.0953,0.3127,0.0431,0,0.532843137254902
2001,90,8306,0.6237,0.0202,0.0917,0.4075,0.0377,0,0.63261217948718
2001,99,8024,0.6143,0.0243,0.0922,0.416,0.0456,0,0.637150728059819
2001,120,7945,0.5651,0.0198,0.077,0.3818,0.0437,0,0.664341761115955
2001,129,7110,0.5176,0.031,0.1054,0.3837,0.0648,0,0.569004293600491
2001,147,6068,0.468,0.0464,0.1276,0.4161,0.1018,0,0.530623505609711
2001,161,5835,0.4392,0.0463,0.1166,0.4035,0.1061,0,0.551624687560085
2001,186,5153,0.3912,0.0583,0.1637,0.3943,0.1261,0,0.41326164874552
2001,202,5281,0.4051,0.0582,0.1605,0.399,0.1232,0,0.42627345844504
2001,209,5578,0.4037,0.0489,0.153,0.3657,0.1038,0,0.410063620589936
2001,225,4927,0.348,0.0577,0.1508,0.3331,0.1132,0,0.376730729489564
2001,248,5690,0.4019,0.0474,0.1486,0.3459,0.095,0,0.398988877654196
2001,264,5730,0.376,0.043,0.1355,0.3058,0.083,0,0.385905279854974
2001,273,5699,0.3671,0.0444,0.1416,0.2899,0.0794,0,0.343684820393974
2001,296,5140,0.2982,0.0407,0.1331,0.2511,0.0806,0,0.307131702238417
2001,307,4672,0.2456,0.041,0.1466,0.2096,0.0761,0,0.176866928691746
2001,331,5152,NA,NA,NA,NA,NA,NA,NA
2001,344,4961,0.209,0.0246,0.1295,0.166,0.0559,0,0.123519458544839
2001,3,6456,NA,NA,NA,NA,NA,NA,NA
2002,15,5859,0.2489,0.0178,0.1053,0.1785,0.0466,0,0.257928118393235
2002,22,5732,0.2774,0.0245,0.1487,0.2072,0.0562,0,0.164372014610846
2002,43,5390,0.242,0.0203,0.1178,0.191,0.0572,0,0.237046632124352
2002,61,6697,0.3806,0.0174,0.1148,0.2821,0.0558,0,0.421516754850088
2002,77,7387,0.4748,0.0201,0.0893,0.3301,0.0496,0,0.574153552694325
2002,91,7655,0.4897,0.0147,0.0867,0.3382,0.0449,0,0.591903977406449
2002,109,7737,0.5622,0.0233,0.0943,0.3904,0.0498,0,0.610893336084176
2002,125,7314,0.5539,0.0294,0.0987,0.414,0.0642,0,0.614979520187244
2002,134,7160,0.5893,0.0378,0.1191,0.463,0.0766,0,0.590791960144305
2002,155,6703,0.4648,0.0299,0.1065,0.3638,0.0718,0,0.547097597278333
2002,162,6761,0.4995,0.037,0.1218,0.3846,0.0743,0,0.518957345971564
2002,180,5690,0.4276,0.0529,0.1544,0.3787,0.104,0,0.420746576627274
2002,205,4881,0.3646,0.0593,0.1714,0.387,0.1331,0,0.386103151862464
2002,212,5051,0.3599,0.0514,0.1456,0.3638,0.1196,0,0.428347074990184
2002,237,5110,0.3564,0.0513,0.1438,0.3412,0.1104,0,0.407010309278351
2002,244,4944,0.3402,0.0548,0.1706,0.3216,0.1088,0,0.306785859406745
2002,267,5788,0.4003,0.0434,0.1282,0.3408,0.0909,0,0.453304904051173
2002,285,5891,0.4219,0.0486,0.1486,0.345,0.0892,0,0.397893030794165
2002,292,5540,0.3713,0.0485,0.1361,0.306,0.0878,0,0.384302194073739
2002,308,5195,0.322,0.047,0.1555,0.2685,0.0849,0,0.266509433962264
2002,329,4485,0.1978,0.0316,0.166,0.1681,0.064,0,0.00628554325052377
2002,338,4198,NA,NA,NA,NA,NA,NA,NA
2002,356,4979,0.1902,0.0229,0.0925,0.1447,0.0485,0,0.220067453625632
2003,1,5000,NA,NA,NA,NA,NA,NA,NA
2003,28,6337,0.2837,0.0233,0.0832,0.1838,0.0412,0,0.376779026217228
