"YR","DOY","bnd1.ref","bnd2.ref","bnd3.ref","bnd4.ref","bnd5.ref","bnd6.ref","bnd7.ref","LSWI1","LSWI2","NDVI","EVI"
2001,4,0.0672,0.175,0.034,0.058,0.2345,0.2304,0.1486,-0.136655155402072,0.0815822002472188,0.445086705202312,0.203672914147521
2001,12,0.0695,0.1751,0.0354,0.06,0.2352,0.2358,0.1547,-0.147724507179362,0.0618556701030928,0.431725265739984,0.199004975124378
2001,20,0.082,0.1688,0.045,0.07,0.2231,0.2335,0.1647,-0.160825254784986,0.0122938530734632,0.346092503987241,0.163983979445326
2001,28,0.0875,0.1825,0.0455,0.0745,0.245,0.2597,0.1872,-0.174581637268204,-0.0127130105490939,0.351851851851852,0.173833485818847
2001,36,0.0787,0.1998,0.0387,0.0699,0.2759,0.273,0.1811,-0.154822335025381,0.0490942504594382,0.434829443447038,0.219106205898317
2001,44,0.0582,0.2241,0.0308,0.0594,0.2622,0.2209,0.125,0.00719101123595507,0.283872815812088,0.587672688629118,0.308984578708187
2001,52,0.059,0.1726,0.0325,0.058,0.2398,0.2178,0.1361,-0.11577868852459,0.118237771298996,0.490500863557858,0.221382078964805
2001,60,0.0748,0.1813,0.039,0.064,0.2597,0.254,0.1815,-0.16701125660464,-0.000551267916207292,0.415853182350644,0.199050538277512
2001,68,0.0776,0.2266,0.0391,0.0693,0.2877,0.2755,0.177,-0.0973909579764987,0.122893954410307,0.489809335963182,0.266271131920369
2001,76,0.0726,0.2747,0.0361,0.0729,0.3152,0.2711,0.1728,0.00659582264565774,0.227709497206704,0.5819176504463,0.350977736098086
2001,84,0.074,0.2556,0.0387,0.0753,0.2901,0.2489,0.161,0.0132804757185332,0.227076332213154,0.550970873786408,0.322134317238443
2001,92,0.0688,0.2938,0.0353,0.0753,0.3045,0.2293,0.1363,0.12330338367425,0.366193908393397,0.620518477661335,0.39012379928564
2001,100,0.064,0.3188,0.0312,0.0704,0.3104,0.2158,0.1278,0.192667414889637,0.427675772503359,0.665621734587252,0.433687363834423
2001,108,0.0721,0.2872,0.0348,0.0725,0.3083,0.2431,0.1578,0.0831604752027154,0.290786516853933,0.598664069023101,0.368624897175761
2001,116,0.0825,0.2879,0.0407,0.0786,0.3206,0.2697,0.1916,0.0326398852223816,0.200834202294056,0.554535637149028,0.347511250972828
2001,124,0.0887,0.2682,0.0438,0.0805,0.3123,0.2764,0.2091,-0.0150569225119354,0.123821495914519,0.502942000560381,0.304878048780488
2001,132,0.0842,0.2583,0.044,0.0769,0.3094,0.2761,0.2074,-0.0333083832335329,0.109297831221817,0.508321167883212,0.303627485176142
2001,140,0.096,0.2412,0.0509,0.0856,0.3056,0.2891,0.2266,-0.0903262304356025,0.0312099187687045,0.430604982206406,0.252882371381797
2001,148,0.0971,0.2585,0.051,0.0882,0.3132,0.2878,0.218,-0.0536335346879004,0.0849947534102833,0.453880764904387,0.276635129576306
2001,156,0.0856,0.2872,0.0439,0.0825,0.3337,0.2765,0.184,0.0189817278694341,0.219015280135823,0.540772532188841,0.342496007611022
2001,164,0.0867,0.2953,0.0469,0.0842,0.3333,0.2754,0.1829,0.0348694585596635,0.235048097030531,0.546073298429319,0.356276686592656
2001,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,180,0.0697,0.3882,0.0422,0.0795,0.3579,0.2447,0.1232,0.226734081213462,0.518185373484552,0.695566717623935,0.534431841063159
2001,188,0.0697,0.3881,0.0422,0.0795,0.3578,0.2446,0.1232,0.226805753121543,0.518091140230784,0.695500218435998,0.534299906027655
2001,196,0.063,0.3787,0.0351,0.0718,0.3579,0.2473,0.1238,0.209904153354633,0.50726368159204,0.714738510301109,0.528474337942348
2001,204,0.065,0.3873,0.0358,0.0748,0.3657,0.2527,0.1236,0.2103125,0.516147974163241,0.712580145920849,0.534033669141039
2001,212,0.0693,0.392,0.0373,0.0777,0.371,0.2603,0.1293,0.201900965813276,0.503932476501055,0.699544764795144,0.527960472497628
2001,220,0.0708,0.3993,0.0379,0.0786,0.3733,0.258,0.1265,0.214970333181196,0.518828451882845,0.698787492022974,0.53333116862032
2001,228,0.0719,0.3851,0.0373,0.0795,0.3714,0.2532,0.1193,0.206642644524518,0.526962727993656,0.685339168490153,0.509516837481698
2001,236,0.0918,0.3528,0.044,0.0862,0.3701,0.2701,0.1391,0.132766094076096,0.43443789388087,0.587044534412955,0.414654295882054
2001,244,0.101,0.3442,0.0488,0.0893,0.3716,0.2794,0.1468,0.103912764592688,0.4020366598778,0.546271338724169,0.383789925514455
2001,252,0.1088,0.3349,0.0531,0.0915,0.3695,0.2819,0.1486,0.0859273670557717,0.385315408479835,0.509578544061303,0.35562615999245
2001,260,0.1075,0.3274,0.0505,0.0876,0.3578,0.2709,0.1453,0.0944342303192378,0.385233763486355,0.505633478960681,0.344962821196624
2001,268,0.1049,0.3212,0.0491,0.0857,0.3591,0.2745,0.1431,0.0783951653516871,0.383588197286237,0.507627317531096,0.341738553417386
2001,276,0.111,0.3182,0.0521,0.0887,0.3624,0.2875,0.1527,0.0506851576688129,0.351454661286897,0.482758620689655,0.325080799523048
2001,284,0.1247,0.3291,0.0511,0.0909,0.3815,0.3004,0.1647,0.0455917394757744,0.332928311057108,0.4504186866461,0.301643989256515
2001,292,0.1143,0.3063,0.0496,0.0876,0.3477,0.2683,0.1481,0.0661329620605638,0.348151408450704,0.456490727532097,0.296278007530399
2001,300,0.0896,0.2549,0.047,0.0767,0.3052,0.2496,0.1348,0.0105054509415263,0.308185783936361,0.479825834542816,0.286979166666667
2001,308,0.0943,0.253,0.0477,0.0787,0.3231,0.2561,0.1417,-0.0060891769789825,0.281986318723081,0.456953642384106,0.271551281612539
2001,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,324,0.09,0.1887,0.0421,0.0753,0.264,0.2795,0.191,-0.193934216146946,-0.00605741374769554,0.354144241119483,0.174634629675502
2001,332,0.0838,0.2049,0.0429,0.0736,0.2602,0.2606,0.1715,-0.119656283566058,0.0887353878852284,0.41946657429858,0.218442223745445
2001,340,0.0775,0.214,0.0408,0.071,0.2675,0.2534,0.1569,-0.0842961061189559,0.153949851712052,0.468267581475129,0.248543335761107
2001,348,0.0754,0.179,0.0383,0.0647,0.2369,0.2439,0.1605,-0.153464175928115,0.0544918998527246,0.407232704402516,0.192686828106982
2001,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,4,0.0494,0.1326,0.0278,0.0458,0.1803,0.1813,NA,-0.155144950621217,NA,0.457142857142857,0.170421958213847
2002,12,0.0618,0.1649,0.0309,0.0556,0.2198,0.2277,0.1526,-0.159959246051961,0.038740157480315,0.454786060873401,0.197668622263124
2002,20,0.0681,0.1825,0.0335,0.0599,0.2293,0.2414,0.1613,-0.138947865062515,0.0616637579988365,0.456504389465283,0.213456730230996
2002,28,0.0782,0.2032,0.0365,0.0653,0.2583,0.2672,0.1791,-0.136054421768707,0.0630394977766152,0.444207533759773,0.22342973581668
2002,36,0.0789,0.194,0.0396,0.067,0.254,0.2722,0.1867,-0.167739167739168,0.0191752035723667,0.421766214730671,0.209975189725628
2002,44,0.0727,0.2021,0.0362,0.0653,0.2571,0.2619,0.1717,-0.128879310344828,0.0813269127875869,0.470887918486172,0.236684225929178
2002,52,0.0699,0.2337,0.032,0.0673,0.2814,0.2601,0.1684,-0.0534629404617254,0.162397413578712,0.539525691699605,0.289788408463661
2002,60,0.0755,0.2253,0.0354,0.07,0.2775,0.2685,0.1826,-0.0874848116646416,0.104682520225545,0.498005319148936,0.26507644394111
2002,68,0.0766,0.2017,0.0411,0.0696,0.2578,0.2413,0.1603,-0.0893905191873589,0.114364640883978,0.449514911965505,0.231144451424559
2002,76,0.0817,0.1937,0.044,0.0723,0.2611,0.2575,0.1877,-0.141400709219858,0.0157315154693236,0.406681190994916,0.206809956422188
2002,84,0.0753,0.2788,0.0396,0.0749,0.2969,0.2586,0.1641,0.0375883885374023,0.258974937909235,0.57469641344253,0.354875837053571
2002,92,0.0664,0.293,0.033,0.0707,0.2967,0.2466,0.1639,0.0859896219421794,0.282556358065222,0.630495269894268,0.392340189763834
2002,100,0.0634,0.2684,0.0314,0.0692,0.316,0.2431,0.1625,0.0494623655913979,0.245764678579717,0.617842073538276,0.362626477039553
2002,108,0.0678,0.2987,0.0321,0.069,0.3249,0.2589,0.1799,0.071377331420373,0.248223986627664,0.630013642564802,0.394094555384878
2002,116,0.0959,0.1958,0.0448,0.0824,0.2743,0.2825,0.2404,-0.181266987246498,-0.102246675836772,0.342475145697635,0.174017558528428
2002,124,0.0881,0.252,0.0432,0.0774,0.3093,0.2657,0.226,-0.026463202627004,0.0543933054393305,0.48191708321082,0.281305780584924
2002,132,0.086,0.295,0.041,0.0822,0.3281,0.2723,0.1911,0.0400141018861274,0.21374202838922,0.548556430446194,0.347522447622215
2002,140,0.0922,0.2581,0.0431,0.0843,0.3158,0.2873,0.2091,-0.0535386872020535,0.104880136986301,0.473594062232372,0.278720473102382
2002,148,0.0904,0.3107,0.0469,0.088,0.3405,0.2799,0.1958,0.0521503555706062,0.22685093780849,0.549239591124408,0.366836513804243
2002,156,0.0915,0.3204,0.0482,0.0902,0.354,0.2819,0.1884,0.0639216337373402,0.259433962264151,0.555717407137655,0.379501293189204
2002,164,0.092,0.2864,0.0493,0.0866,0.3347,0.2898,0.2023,-0.0059007289135717,0.172089216288111,0.513742071881607,0.330916147482382
2002,172,0.0861,0.3079,0.0436,0.0816,0.3413,0.2796,0.1749,0.0481702127659574,0.275476387738194,0.562944162436548,0.370283806343907
2002,180,0.0795,0.3449,0.0407,0.081,0.3547,0.2624,0.1465,0.135847192491355,0.403744403744404,0.625353440150801,0.437477334915768
2002,188,0.0676,0.3851,0.0353,0.0753,0.3606,0.2426,0.1183,0.22701927672455,0.529996027016289,0.701347470731169,0.520167764343524
2002,196,0.056,0.4241,0.0304,0.0705,0.367,0.217,0.0983,0.323038527530806,0.623660030627871,0.766715267652572,0.600646171920893
2002,204,0.0582,0.4247,0.0318,0.0717,0.3683,0.213,0.0991,0.331974282578015,0.621611302023673,0.758956305653344,0.596750032564804
2002,212,0.0693,0.3909,0.0393,0.0791,0.3474,0.2283,0.1009,0.262596899224806,0.589670597803985,0.698826597131682,0.53176361652171
2002,220,0.0778,0.3863,0.0431,0.0839,0.3528,0.2271,0.1046,0.259537006847082,0.573843960073335,0.664727429433312,0.504134392260679
2002,228,0.0801,0.3961,0.0411,0.0841,0.3777,0.237,0.1121,0.251303111672722,0.55883510428965,0.663586728265435,0.503681979023877
2002,236,0.0842,0.3856,0.0414,0.0854,0.3741,0.2503,0.12,0.212769303349583,0.525316455696202,0.641549595572584,0.476808200974499
2002,244,0.0931,0.3735,0.0443,0.0885,0.3773,0.2605,0.1336,0.178233438485804,0.473082232301321,0.600942991855979,0.438166078069819
2002,252,0.1022,0.3693,0.0482,0.0931,0.3907,0.2684,0.1424,0.158224870628822,0.443423881180379,0.566489925768823,0.411937075879087
2002,260,0.1131,0.3671,0.0518,0.0973,0.3936,0.2711,0.1488,0.150423064869947,0.423144020158946,0.528946272386506,0.383176442191649
2002,268,0.1227,0.3643,0.0531,0.0984,0.3911,0.2738,0.1552,0.14182729979627,0.402502406159769,0.496098562628337,0.354824496989279
2002,276,0.1215,0.3456,0.0529,0.0954,0.3786,0.2812,0.1526,0.102744097000638,0.387394620634283,0.479768786127168,0.333909467473254
2002,284,0.1176,0.3307,0.0541,0.0935,0.3648,0.2721,0.1456,0.09721300597213,0.388620617258031,0.475351327236226,0.326730244396063
2002,292,0.1177,0.3286,0.053,0.0906,0.3725,0.285,0.1527,0.0710560625814863,0.365468522750883,0.472552095003361,0.322024064007818
2002,300,0.1045,0.3162,0.0479,0.0833,0.369,0.2979,0.159,0.029799706888129,0.330808080808081,0.503208937485144,0.334133021875691
2002,308,0.117,0.2676,0.0576,0.0946,0.3203,0.2663,0.1843,0.00243491290503834,0.18433281699491,0.391575663026521,0.244862122788762
2002,316,0.113,0.2135,0.051,0.0929,0.2634,0.2081,0.1865,0.0128083491461101,0.0675000000000001,0.30781010719755,0.166500994035785
2002,324,0.1268,0.231,0.0617,0.1027,0.2801,0.2779,0.2112,-0.0921595598349381,0.0447761194029851,0.291224147568474,0.170367221477388
2002,332,0.1284,0.2287,0.0625,0.103,0.2839,0.2923,0.2152,-0.122072936660269,0.0304122550123902,0.280873704844581,0.163851406540987
2002,340,0.0822,0.1677,0.048,0.0745,0.2072,0.1912,0.1705,-0.0654778489830036,-0.00827912477823772,0.342136854741897,0.164309324313937
2002,348,0.0736,0.15,0.0373,0.0604,0.1874,0.1822,0.1409,-0.0969295605057195,0.0312822275696115,0.341681574239714,0.145595914167016
2002,356,0.0703,0.1428,0.0374,0.0617,0.1837,0.1766,0.1321,-0.105823418910457,0.0389232448162969,0.340215861098076,0.141149443189783
2002,364,0.0708,0.1478,0.0384,0.0664,0.1885,0.181,0.1103,-0.100973236009732,0.145292522278187,0.35224153705398,0.149852094037054
2003,4,0.0721,0.1843,0.0479,0.0702,0.2003,0.1798,0.1268,0.0123592419664927,0.184828029572485,0.437597503900156,0.223035025643065
2003,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,28,0.0575,0.2268,0.0296,0.062,0.2391,0.2149,0.1418,0.0269413629160063,0.230602278893109,0.59549771368273,0.313564972588532
2003,36,0.0587,0.2277,0.0299,0.0623,0.2477,0.2235,0.1474,0.00930851063829789,0.214076246334311,0.590083798882682,0.311658613949028
2003,44,0.0557,0.2778,0.0275,0.0639,0.2743,0.2189,0.1281,0.118582645460036,0.368810051736881,0.665967016491754,0.394984883514138
2003,52,0.057,0.2653,0.0277,0.0621,0.2635,0.2131,0.1339,0.109113712374582,0.329158316633267,0.646292274278622,0.372083884105605
2003,60,0.0635,0.2556,0.0303,0.0658,0.2697,0.2174,0.1442,0.0807610993657505,0.27863931965983,0.602005640864933,0.340759924788023
2003,68,0.0646,0.2539,0.0337,0.0673,0.2753,0.2208,0.1427,0.0697282494206867,0.280383257690368,0.594348508634223,0.340774077407741
2003,76,0.066,0.2759,0.0345,0.0695,0.2718,0.2097,0.1489,0.136326194398682,0.298964218455744,0.61392219947353,0.371333545625022
2003,84,0.0656,0.2901,0.0336,0.0702,0.2792,0.2227,0.168,0.131435257410296,0.266535690897184,0.631149845375316,0.392016483900258
2003,92,0.0572,0.2546,0.0301,0.0577,0.2343,0.2124,0.1582,0.0903640256959315,0.233527131782946,0.633098139833226,0.359680769651252
2003,100,0.0619,0.2507,0.0316,0.0582,0.2452,0.2188,0.1604,0.0679446219382322,0.219654585259061,0.603966730646193,0.340769619522056
2003,108,0.0696,0.2505,0.0366,0.0681,0.2722,0.2668,0.1685,-0.0315097622269477,0.195704057279236,0.565135895032802,0.324519230769231
2003,116,0.0699,0.2849,0.0416,0.0737,0.2873,0.2508,0.1788,0.0636550308008213,0.228811731723097,0.60597519729425,0.386051856640092
2003,124,0.0686,0.3268,0.0368,0.0751,0.3076,0.2218,0.1787,0.191396281443675,0.29297725024728,0.653009610520991,0.441397702407002
2003,132,0.0768,0.2952,0.04,0.0762,0.297,0.2354,0.2073,0.11270260082925,0.174925373134328,0.587096774193548,0.375
2003,140,0.0868,0.2573,0.0463,0.0791,0.2925,0.2563,0.2215,0.00194704049844237,0.0747702589807853,0.495495495495496,0.297899849739665
2003,148,0.09,0.2288,0.049,0.0801,0.296,0.2762,0.227,-0.0938613861386139,0.00394910048266783,0.435382685069009,0.247627203311211
2003,156,0.0926,0.2446,0.0508,0.0846,0.3052,0.2855,0.2311,-0.0771552537257122,0.0283792306075258,0.450771055753262,0.267756482525366
2003,164,0.0934,0.2835,0.0514,0.088,0.3257,0.274,0.2071,0.0170403587443946,0.155727680391358,0.504377819050146,0.325870817334065
2003,172,0.0894,0.3052,0.0493,0.0867,0.3542,0.2622,0.1778,0.0757842791681354,0.263768115942029,0.546882919412063,0.366545503957604
2003,180,0.0853,0.3129,0.0468,0.0848,0.3604,0.2643,0.1693,0.0841995841995841,0.297801742015761,0.571572074334505,0.386103006039221
2003,188,0.0771,0.3276,0.0422,0.0802,0.3535,0.2543,0.1587,0.125966660938305,0.347316471314004,0.618977020014826,0.424950804098527
2003,196,0.0701,0.366,0.0406,0.0779,0.3595,0.2497,0.1365,0.188890693519571,0.456716417910448,0.678514102270122,0.49912286620336
2003,204,0.0682,0.404,0.0434,0.0806,0.3716,0.2452,0.1222,0.244608749229821,0.535537818320031,0.711139347734011,0.564293876453586
