"YR","DOY","LST.day","LST.night","QC.day","QC.night"
2001,4,14.01,-0.589999999999975,0,0
2001,12,11.49,NA,0,65
2001,20,14.1300000000001,-0.989999999999952,0,0
2001,28,12.6900000000001,0.650000000000034,0,0
2001,36,15.73,3.19000000000005,0,0
2001,44,15.61,1.65000000000003,0,0
2001,52,NA,2.87,65,0
2001,60,16.0700000000001,4.61000000000001,0,0
2001,68,20.29,6.21000000000004,0,0
2001,76,21.35,9.75000000000006,0,0
2001,84,24.6900000000001,10.6900000000001,0,0
2001,92,25.31,11.89,0,0
2001,100,22.81,5.59000000000003,0,0
2001,108,NA,7.23000000000002,65,0
2001,116,34.41,11.95,0,0
2001,124,35.99,13.23,0,0
2001,132,43.01,NA,0,65
2001,140,40.11,17.47,0,0
2001,148,36.91,16.01,0,0
2001,156,37.49,16.41,0,0
2001,164,40.45,15.23,0,0
2001,180,NA,NA,65,2
2001,188,31.61,16.87,0,0
2001,196,30.65,14.27,0,0
2001,204,30.59,15.39,0,0
2001,212,30.6900000000001,16.09,0,0
2001,220,30.41,16.77,0,0
2001,228,30.81,15.89,0,0
2001,236,32.37,18.41,0,0
2001,244,32.01,16.43,0,0
2001,252,28.6900000000001,15.35,0,0
2001,260,29.55,14.85,0,0
2001,268,27.09,15.27,0,0
2001,276,29.53,15.45,0,0
2001,284,26.79,11.77,0,0
2001,292,25.33,11.17,0,0
2001,300,24.89,9.09000000000003,0,0
2001,308,20.97,7.03000000000003,0,0
2001,316,19.39,NA,0,65
2001,324,NA,6.81,65,0
2001,332,13.1900000000001,2.93000000000001,0,0
2001,340,12.33,4.31,0,0
2001,348,12.45,3.37,0,0
2001,356,NA,NA,2,65
2001,364,NA,NA,2,65
2002,4,NA,NA,65,65
2002,12,12.61,2.65000000000003,0,0
2002,20,11.89,0.370000000000005,0,0
2002,28,10.29,-1.16999999999996,0,0
2002,36,14.1300000000001,1.11000000000001,0,0
2002,44,17.65,4.15000000000003,0,0
2002,52,17.67,7.49000000000001,0,0
2002,60,17.67,5.27000000000004,0,0
2002,68,NA,1.93000000000001,65,0
2002,76,15.59,4.43000000000001,0,0
2002,84,28.1300000000001,12.17,0,0
2002,92,25.6900000000001,11.51,0,0
2002,100,27.01,11.65,0,0
2002,108,29.41,8.05000000000001,0,0
2002,116,NA,9.35000000000002,65,0
2002,124,30.83,10.67,0,0
2002,132,32.37,11.93,0,0
2002,140,32.27,10.39,0,0
2002,148,34.73,15.01,0,0
2002,156,38.6300000000001,16.77,0,0
2002,164,36.05,14.77,0,0
2002,172,35.61,15.89,0,0
2002,180,36.41,18.01,0,0
2002,188,36.49,19.6300000000001,0,0
2002,196,31.7500000000001,16.37,0,0
2002,204,31.15,16.51,0,0
2002,212,27.71,15.67,0,0
2002,220,32.11,17.67,0,0
2002,228,29.49,16.33,0,0
2002,236,29.6300000000001,15.67,0,0
2002,244,31.31,16.59,0,0
2002,252,30.39,15.37,0,0
2002,260,30.97,16.31,0,0
2002,268,31.35,16.7500000000001,0,0
2002,276,28.39,12.23,0,0
2002,284,27.15,14.47,0,0
2002,292,NA,10.67,65,0
2002,300,24.03,7.23000000000002,0,0
2002,308,NA,3.01000000000005,65,0
2002,316,NA,NA,65,65
2002,324,NA,6.05000000000001,65,0
2002,332,16.6900000000001,1.39000000000004,0,0
2002,340,NA,1.11000000000001,65,0
2002,348,NA,NA,65,65
2002,356,10.49,3.09000000000003,0,0
2002,364,13.41,NA,0,2
2003,4,NA,3.87,65,0
2003,12,13.93,4.25000000000006,0,0
2003,20,NA,5.29000000000002,2,0
2003,28,14.33,9.15000000000003,0,0
2003,36,14.37,1.73000000000002,0,0
2003,44,12.61,0.370000000000005,0,0
2003,52,16.83,5.49000000000001,0,0
2003,60,16.37,5.97000000000003,0,0
2003,68,20.61,8.45000000000005,0,0
2003,76,18.59,7.81,0,0
2003,84,21.01,9.13000000000005,0,0
2003,92,23.97,NA,0,65
2003,100,24.21,9.09000000000003,0,0
2003,108,23.67,7.53000000000003,0,0
2003,116,23.79,NA,0,65
2003,124,NA,NA,65,65
2003,132,29.39,10.05,0,0
2003,140,33.31,14.17,0,0
2003,148,37.71,15.0700000000001,0,0
2003,156,34.33,15.47,0,0
2003,164,35.33,13.35,0,0
2003,172,35.6900000000001,15.43,0,0
2003,180,38.67,18.39,0,0
2003,188,37.41,17.53,0,0
2003,196,36.79,20.65,0,0
2003,204,33.73,19.55,0,0
2003,212,29.5700000000001,19.01,0,0
2003,220,30.89,16.67,0,0
2003,228,30.93,16.41,0,0
2003,236,31.5700000000001,17.43,0,0
2003,244,31.05,17.99,0,0
2003,252,30.79,15.1300000000001,0,0
2003,260,32.27,15.27,0,0
2003,268,28.21,14.97,0,0
2003,276,27.27,15.1300000000001,0,0
2003,284,27.47,10.89,0,0
2003,292,28.27,11.55,0,0
2003,300,28.2500000000001,10.43,0,0
2003,308,NA,NA,65,65
2003,316,17.61,6.47000000000003,0,0
2003,324,16.39,3.27000000000004,0,0
2003,332,16.11,NA,0,65
2003,340,13.95,NA,0,65
2003,348,12.7500000000001,NA,0,65
2003,356,NA,NA,65,2
2003,364,9.15000000000003,NA,0,65
2004,4,10.37,NA,0,65
2004,12,NA,6.89000000000004,2,0
2004,20,14.23,2.03000000000003,0,0
2004,28,11.47,NA,0,2
2004,36,12.95,3.53000000000003,0,0
2004,44,16.09,2.77000000000004,0,0
2004,52,NA,NA,65,2
2004,60,14.27,6.65000000000003,0,0
2004,68,21.99,9.95000000000005,0,0
2004,76,25.45,11.23,0,0
