"YR","DOY","LST.day","LST.night","QC.day","QC.night"
2001,4,NA,1.51000000000005,65,0
2001,12,NA,NA,65,65
2001,20,12.85,0.930000000000007,0,0
2001,28,NA,1.83000000000004,65,0
2001,36,14.53,4.29000000000002,0,0
2001,44,13.77,1.09000000000003,0,0
2001,52,13.17,NA,0,65
2001,60,NA,3.19000000000005,65,0
2001,68,17.89,7.21000000000004,0,0
2001,76,20.49,11.39,0,0
2001,84,21.73,NA,0,65
2001,92,22.93,NA,0,65
2001,100,18.79,NA,0,65
2001,108,NA,NA,65,65
2001,116,26.1300000000001,11.59,0,0
2001,124,27.95,13.35,0,0
2001,132,29.01,NA,0,65
2001,140,29.81,17.0700000000001,0,0
2001,148,29.71,16.71,0,0
2001,156,28.99,NA,0,65
2001,164,28.77,NA,0,65
2001,180,NA,NA,2,2
2001,188,29.0700000000001,NA,0,65
2001,196,28.71,14.31,0,0
2001,204,27.51,15.17,0,0
2001,212,28.61,15.47,0,0
2001,220,30.79,16.71,0,0
2001,228,30.01,15.95,0,0
2001,236,30.39,17.61,0,0
2001,244,30.35,16.77,0,0
2001,252,34.27,15.47,0,0
2001,260,27.73,14.73,0,0
2001,268,25.47,13.6300000000001,0,0
2001,276,NA,14.67,65,0
2001,284,NA,12.0700000000001,65,0
2001,292,25.89,12.37,0,0
2001,300,NA,NA,65,65
2001,308,NA,9.03000000000003,65,0
2001,316,22.71,NA,0,65
2001,324,18.43,5.95000000000005,0,0
2001,332,13.49,2.87,0,0
2001,340,10.93,NA,0,65
2001,348,NA,4.05000000000001,65,0
2001,356,NA,NA,2,2
2001,364,NA,NA,2,65
2002,4,NA,NA,65,65
2002,12,11.39,6.67000000000002,0,0
2002,20,10.29,NA,0,65
2002,28,9.63000000000005,-0.42999999999995,0,0
2002,36,NA,2.15000000000003,65,0
2002,44,14.05,3.91000000000003,0,0
2002,52,NA,6.49000000000001,65,0
2002,60,17.79,6.09000000000003,0,0
2002,68,NA,4.23000000000002,65,0
2002,76,14.79,6.59000000000003,0,0
2002,84,NA,12.05,65,0
2002,92,NA,12.21,65,0
2002,100,23.17,11.97,0,0
2002,108,22.55,9.33000000000004,0,0
2002,116,22.93,10.85,0,0
2002,124,22.77,11.2500000000001,0,0
2002,132,NA,12.37,65,0
2002,140,24.09,NA,0,65
2002,148,27.49,14.53,0,0
2002,156,28.17,18.29,0,0
2002,164,30.55,15.41,0,0
2002,172,28.11,16.2500000000001,0,0
2002,180,31.65,17.51,0,0
2002,188,33.71,17.59,0,0
2002,196,29.79,16.97,0,0
2002,204,29.05,16.27,0,0
2002,212,26.77,15.43,0,0
2002,220,31.67,16.45,0,0
2002,228,NA,15.73,65,0
2002,236,29.5700000000001,15.71,0,0
2002,244,33.01,15.77,0,0
2002,252,31.0700000000001,14.55,0,0
2002,260,31.71,15.71,0,0
2002,268,31.21,15.27,0,0
2002,276,NA,NA,65,65
2002,284,32.15,12.87,0,0
2002,292,NA,11.23,65,0
2002,300,NA,9.01000000000005,65,0
2002,308,NA,8.85000000000002,65,0
2002,316,18.41,NA,0,65
2002,324,NA,7.15000000000003,65,0
2002,332,15.65,NA,0,65
2002,340,NA,NA,65,65
2002,348,NA,NA,65,65
2002,356,9.93000000000001,NA,0,65
2002,364,11.65,NA,0,65
2003,4,10.43,5.27000000000004,0,0
2003,12,12.29,4.23000000000002,0,0
2003,20,NA,NA,2,65
2003,28,NA,4.71000000000004,65,0
2003,36,NA,4.19000000000005,65,0
2003,44,NA,2.71000000000004,65,0
2003,52,NA,5.69000000000005,65,0
2003,60,NA,6.61000000000001,65,0
2003,68,NA,8.67000000000002,65,0
2003,76,17.21,NA,0,65
2003,84,20.0700000000001,9.75000000000006,0,0
2003,92,25.79,7.67000000000002,0,0
2003,100,22.33,9.39000000000004,0,0
2003,108,21.15,9.11000000000001,0,0
2003,116,20.91,7.61000000000001,0,0
2003,124,NA,NA,65,65
2003,132,23.93,10.55,0,0
2003,140,26.0700000000001,14.59,0,0
2003,148,29.35,15.67,0,0
2003,156,30.31,15.77,0,0
2003,164,26.59,14.73,0,0
2003,172,28.67,15.55,0,0
2003,180,32.21,17.93,0,0
2003,188,30.37,17.11,0,0
2003,196,31.51,19.37,0,0
2003,204,32.89,NA,0,65
2003,212,26.21,18.05,0,0
2003,220,28.05,NA,0,65
2003,228,28.79,16.37,0,0
2003,236,30.43,16.85,0,0
2003,244,NA,16.95,65,0
2003,252,30.29,15.95,0,0
2003,260,NA,16.49,65,0
2003,268,33.51,14.99,0,0
2003,276,NA,14.2500000000001,65,0
2003,284,NA,12.7500000000001,65,0
2003,292,NA,13.35,65,0
2003,300,NA,12.11,65,0
2003,308,NA,NA,2,65
2003,316,NA,7.63000000000005,65,0
2003,324,NA,6.45000000000005,65,0
2003,332,15.53,5.65000000000003,0,0
2003,340,NA,6.47000000000003,65,0
2003,348,NA,NA,65,65
2003,356,NA,NA,65,65
2003,364,9.43000000000001,NA,0,65
2004,4,9.31,NA,0,65
2004,12,NA,5.89000000000004,2,0
2004,20,10.77,2.93000000000001,0,0
2004,28,11.33,NA,0,65
2004,36,NA,4.19000000000005,65,0
2004,44,NA,3.55000000000001,65,0
2004,52,NA,NA,65,2
2004,60,NA,NA,65,65
2004,68,19.15,10.03,0,0
2004,76,NA,11.31,65,0
2004,84,NA,10.61,65,0
2004,92,18.87,10.55,0,0
2004,100,25.23,11.7500000000001,0,0
