"YR","DOY","LST.day","LST.night","QC.day","QC.night"
2001,4,14.61,-0.75,0,0
2001,12,11.65,2.63000000000005,0,0
2001,20,14.65,-0.46999999999997,0,0
2001,28,12.81,0.550000000000011,0,0
2001,36,15.97,2.93000000000001,0,0
2001,44,16.27,0.590000000000032,0,0
2001,52,NA,4.57000000000005,65,0
2001,60,16.53,4.69000000000005,0,0
2001,68,21.03,6.21000000000004,0,0
2001,76,22.1900000000001,9.53000000000003,0,0
2001,84,25.1300000000001,10.59,0,0
2001,92,26.49,NA,0,65
2001,100,23.45,5.33000000000004,0,0
2001,108,NA,7.13000000000005,65,0
2001,116,34.43,11.83,0,0
2001,124,36.71,13.0700000000001,0,0
2001,132,41.05,NA,0,65
2001,140,40.95,17.49,0,0
2001,148,40.81,15.87,0,0
2001,156,38.49,15.5700000000001,0,0
2001,164,40.35,NA,0,65
2001,180,NA,NA,65,2
2001,188,30.95,16.49,0,0
2001,196,29.7500000000001,14.17,0,0
2001,204,30.31,15.17,0,0
2001,212,30.09,15.6300000000001,0,0
2001,220,29.73,16.5700000000001,0,0
2001,228,30.09,15.23,0,0
2001,236,31.97,18.41,0,0
2001,244,32.1300000000001,16.17,0,0
2001,252,28.55,15.21,0,0
2001,260,29.49,15.01,0,0
2001,268,27.73,15.17,0,0
2001,276,29.31,15.09,0,0
2001,284,27.17,11.11,0,0
2001,292,25.15,10.87,0,0
2001,300,NA,8.85000000000002,65,0
2001,308,21.21,6.79000000000002,0,0
2001,316,19.47,NA,0,65
2001,324,17.09,6.63000000000005,0,0
2001,332,13.39,2.53000000000003,0,0
2001,340,12.65,4.19000000000005,0,0
2001,348,12.83,2.95000000000005,0,0
2001,356,NA,NA,2,65
2001,364,NA,NA,2,2
2002,4,NA,NA,65,65
2002,12,12.83,2.21000000000004,0,0
2002,20,12.23,0.190000000000055,0,0
2002,28,10.59,-1.26999999999998,0,0
2002,36,14.83,0.870000000000005,0,0
2002,44,18.43,4.51000000000005,0,0
2002,52,18.33,7.51000000000005,0,0
2002,60,18.59,5.17000000000002,0,0
2002,68,NA,1.43000000000001,65,0
2002,76,15.85,3.93000000000001,0,0
2002,84,29.01,11.53,0,0
2002,92,26.81,11.45,0,0
2002,100,27.85,11.39,0,0
2002,108,30.23,7.75000000000006,0,0
2002,116,NA,8.93000000000001,65,0
2002,124,30.97,10.5700000000001,0,0
2002,132,34.05,11.67,0,0
2002,140,33.0700000000001,10.65,0,0
2002,148,36.95,14.93,0,0
2002,156,39.0700000000001,16.67,0,0
2002,164,36.47,14.65,0,0
2002,172,35.7500000000001,15.71,0,0
2002,180,35.1300000000001,17.77,0,0
2002,188,36.33,19.15,0,0
2002,196,31.49,15.95,0,0
2002,204,30.85,16.39,0,0
2002,212,27.5700000000001,15.45,0,0
2002,220,31.77,17.15,0,0
2002,228,28.83,16.09,0,0
2002,236,29.41,15.39,0,0
2002,244,31.33,16.1900000000001,0,0
2002,252,30.23,14.99,0,0
2002,260,30.23,15.85,0,0
2002,268,31.1300000000001,16.81,0,0
2002,276,27.61,11.61,0,0
2002,284,27.21,12.37,0,0
2002,292,NA,10.27,65,0
2002,300,23.6300000000001,6.77000000000004,0,0
2002,308,NA,2.97000000000003,65,0
2002,316,NA,NA,65,65
2002,324,NA,5.65000000000003,65,0
2002,332,16.2500000000001,1.77000000000004,0,0
2002,340,16.73,1.79000000000002,0,0
2002,348,NA,NA,65,65
2002,356,10.43,3.17000000000002,0,0
2002,364,13.51,NA,0,65
2003,4,NA,3.53000000000003,65,0
2003,12,14.01,4.01000000000005,0,0
2003,20,NA,4.93000000000001,2,0
2003,28,15.17,10.23,0,0
2003,36,14.73,1.43000000000001,0,0
2003,44,13.29,-0.20999999999998,0,0
2003,52,17.23,5.85000000000002,0,0
2003,60,16.65,5.65000000000003,0,0
2003,68,21.59,8.19000000000005,0,0
2003,76,18.77,7.79000000000002,0,0
2003,84,21.6900000000001,9.05000000000001,0,0
2003,92,24.79,5.73000000000002,0,0
2003,100,25.91,8.97000000000003,0,0
2003,108,24.97,7.41000000000003,0,0
2003,116,22.73,6.23000000000002,0,0
2003,124,NA,NA,65,65
2003,132,31.1300000000001,9.51000000000005,0,0
2003,140,35.05,14.05,0,0
2003,148,39.17,14.95,0,0
2003,156,34.51,15.41,0,0
2003,164,35.99,13.29,0,0
2003,172,36.11,15.23,0,0
2003,180,38.6300000000001,18.09,0,0
2003,188,37.47,17.41,0,0
2003,196,37.1900000000001,20.09,0,0
2003,204,33.49,19.35,0,0
2003,212,29.1900000000001,19.03,0,0
2003,220,30.91,16.49,0,0
2003,228,30.97,16.01,0,0
2003,236,31.73,17.17,0,0
2003,244,31.29,17.83,0,0
2003,252,29.2500000000001,14.91,0,0
2003,260,31.43,14.49,0,0
2003,268,28.71,14.83,0,0
2003,276,27.59,14.85,0,0
2003,284,28.05,9.77000000000004,0,0
2003,292,27.79,10.77,0,0
2003,300,29.01,9.85000000000002,0,0
2003,308,NA,NA,65,65
2003,316,17.71,6.35000000000002,0,0
2003,324,16.71,2.93000000000001,0,0
2003,332,16.7500000000001,NA,0,65
2003,340,14.09,6.29000000000002,0,0
2003,348,12.89,NA,0,65
2003,356,NA,NA,65,65
2003,364,9.15000000000003,NA,0,65
2004,4,10.55,NA,0,65
2004,12,NA,6.19000000000005,2,0
2004,20,14.59,1.67000000000002,0,0
2004,28,11.49,NA,0,2
2004,36,13.65,3.11000000000001,0,0
2004,44,16.89,2.27000000000004,0,0
2004,52,NA,NA,65,2
2004,60,NA,NA,65,65
2004,68,22.33,9.67000000000002,0,0
2004,76,26.99,10.73,0,0
2004,84,21.85,9.33000000000004,0,0
2004,92,20.83,9.77000000000004,0,0
2004,100,25.97,11.67,0,0
2004,108,NA,8.81,65,0
2004,116,35.85,13.49,0,0
2004,124,37.55,14.0700000000001,0,0
2004,132,34.65,13.21,0,0
2004,140,32.09,11.97,0,0
2004,148,35.65,13.35,0,0
2004,156,36.95,15.89,0,0
2004,164,38.11,16.39,0,0
2004,172,34.09,14.71,0,0
2004,180,34.2500000000001,16.37,0,0
2004,188,32.71,15.49,0,0
2004,196,34.03,16.6900000000001,0,0
2004,204,33.17,18.09,0,0
2004,212,29.85,15.65,0,0
2004,220,32.35,18.35,0,0
2004,228,30.27,17.65,0,0
2004,236,29.55,16.45,0,0
2004,244,32.23,16.93,0,0
2004,252,34.31,17.03,0,0
2004,260,31.95,16.33,0,0
2004,268,28.95,12.0700000000001,0,0
2004,276,NA,13.85,65,0
2004,284,27.2500000000001,13.55,0,0
2004,292,NA,9.45000000000005,65,0
2004,300,NA,8.05000000000001,65,0
2004,308,19.27,5.05000000000001,0,0
2004,316,18.6300000000001,8.17000000000002,0,0
2004,324,13.89,4.27000000000004,0,0
2004,332,12.91,0.930000000000007,0,0
2004,340,13.83,-1.66999999999996,0,0
2004,348,NA,3.33000000000004,65,0
2004,356,13.39,0.510000000000048,0,0
2004,364,NA,NA,65,2
2005,4,12.55,NA,0,65
2005,12,NA,NA,2,65
2005,20,NA,NA,2,2
2005,28,12.95,3.59000000000003,0,0
2005,36,14.23,4.69000000000005,0,0
2005,44,15.79,NA,0,65
2005,52,18.21,8.03000000000003,0,0
2005,60,17.67,4.93000000000001,0,0
2005,68,21.47,8.67000000000002,0,0
2005,76,21.59,7.03000000000003,0,0
2005,84,18.59,6.19000000000005,0,0
2005,92,22.31,7.19000000000005,0,0
2005,100,20.2500000000001,6.81,0,0
2005,108,26.89,9.35000000000002,0,0
2005,116,27.2500000000001,8.85000000000002,0,0
2005,124,27.15,NA,0,65
2005,132,26.1300000000001,11.35,0,0
2005,140,35.2500000000001,12.6300000000001,0,0
2005,148,37.99,15.15,0,0
2005,156,36.81,14.17,0,0
2005,164,38.55,15.0700000000001,0,0
2005,172,35.7500000000001,13.41,0,0
2005,180,38.0700000000001,16.95,0,0
2005,188,34.85,17.03,0,0
2005,196,36.5700000000001,20.33,0,0
2005,204,35.85,19.11,0,0
2005,212,33.15,18.71,0,0
2005,220,32.71,19.17,0,0
2005,228,28.1300000000001,15.55,0,0
2005,236,31.5700000000001,16.73,0,0
2005,244,30.5700000000001,16.51,0,0
2005,252,26.7500000000001,13.29,0,0
2005,260,27.67,13.59,0,0
2005,268,28.5700000000001,13.49,0,0
2005,276,27.17,11.81,0,0
2005,284,26.29,11.95,0,0
2005,292,25.87,11.99,0,0
2005,300,NA,10.7500000000001,65,0
2005,308,NA,8.25000000000006,65,0
2005,316,NA,8.95000000000005,65,0
2005,324,NA,1.57000000000005,65,0
2005,332,13.87,NA,0,65
2005,340,NA,0.710000000000036,65,0
2005,348,12.09,0.330000000000041,0,0
2005,356,NA,NA,2,2
2005,364,NA,NA,2,65
2006,4,NA,NA,65,65
2006,12,14.91,3.77000000000004,0,0
2006,20,12.41,4.13000000000005,0,0
2006,28,15.67,4.01000000000005,0,0
2006,36,16.11,NA,0,65
2006,44,18.33,4.27000000000004,0,0
2006,52,17.6900000000001,1.23000000000002,0,0
2006,60,NA,4.77000000000004,65,0
2006,68,NA,4.41000000000003,65,0
2006,76,16.55,5.11000000000001,0,0
2006,84,NA,3.97000000000003,65,0
2006,92,NA,NA,65,65
2006,100,NA,NA,65,65
2006,108,23.31,7.87,0,0
2006,116,28.51,12.51,0,0
2006,124,29.05,12.7500000000001,0,0
2006,132,33.85,14.2500000000001,0,0
2006,140,33.7500000000001,NA,0,65
2006,148,31.61,11.53,0,0
2006,156,34.43,14.73,0,0
2006,164,32.73,12.73,0,0
2006,172,36.51,18.09,0,0
2006,180,33.21,17.03,0,0
