"YR","DOY","NDVI","EVI","bnd3.ref","bnd7.ref","bnd2.ref","bnd1.ref","QC","LSWI2"
2001,12,0.3029,0.1109,0.0307,0.1224,0.1228,0.0657,0,0.00163132137030994
2001,17,0.248,0.1047,0.0419,0.1984,0.1409,0.0849,0,-0.169466548776894
2001,38,0.2602,0.1137,0.0403,0.1819,0.153,0.0898,0,-0.0862944162436549
2001,58,0.3053,0.1304,0.0373,0.1941,0.1509,0.0803,0,-0.125217391304348
2001,69,0.4248,0.2389,0.0446,0.2153,0.2361,0.0953,0,0.0460788657509969
2001,88,0.5793,0.3426,0.0365,0.1617,0.2636,0.0702,0,0.239595579590877
2001,99,0.3481,0.1526,0.0356,0.1733,0.1609,0.0778,0,-0.0371035308198683
2001,127,0.5312,0.2705,0.0287,0.1802,0.2195,0.0672,0,0.0983237428071053
2001,141,0.3086,0.131,0.0401,0.1996,0.1448,0.0765,0,-0.159117305458769
2001,159,0.5706,0.3093,0.0349,0.1657,0.2283,0.0624,0,0.158883248730964
2001,161,0.4965,0.2836,0.0393,0.1721,0.2491,0.0838,0,0.182811016144349
2001,191,0.8294,0.6185,0.0216,0.0738,0.398,0.0371,0,0.687155574395931
2001,193,0.7956,0.5988,0.0317,0.1123,0.3779,0.043,0,0.541819665442676
2001,209,0.7953,0.6023,0.0263,0.0979,0.4027,0.0459,0,0.608869356771874
2001,225,0.74,0.5227,0.0279,0.0887,0.3641,0.0544,0,0.60821554770318
2001,241,0.5528,0.3579,0.0381,0.1123,0.3181,0.0916,0,0.478159851301115
2001,269,0.4857,0.3065,0.04,0.1231,0.3103,0.1074,0,0.431933548684818
2001,277,0.4906,0.3774,0.0641,0.1751,0.3963,0.1354,0,0.387119355967798
2001,296,0.3981,0.2483,0.0451,0.1485,0.3078,0.1325,0,0.349112426035503
2001,307,0.4447,0.2771,0.0481,0.1712,0.2844,0.1093,0,0.24846356453029
2001,326,0.4034,0.2114,0.0461,0.1877,0.2014,0.0856,0,0.0352094577229504
2001,348,0.3714,0.1822,0.0409,0.1537,0.1883,0.0863,0,0.101169590643275
2001,3,NA,NA,NA,NA,NA,NA,1,NA
2002,15,0.4194,0.1856,0.0354,0.1754,0.1631,0.0667,0,-0.0363367799113737
2002,22,0.3577,0.1545,0.0362,0.1929,0.1554,0.0735,0,-0.107665805340224
2002,45,0.4088,0.2002,0.0421,0.1886,0.1835,0.077,0,-0.0137059930126311
2002,56,0.5798,0.3783,0.0423,0.2226,0.3027,0.0805,0,0.152484294688749
2002,73,0.4032,0.1757,0.031,0.1501,0.166,0.0706,0,0.0503005378044922
2002,91,0.3189,0.1399,0.0372,0.1868,0.1588,0.082,0,-0.0810185185185186
2002,109,0.2797,0.1323,0.0436,0.2637,0.1734,0.0976,0,-0.206588881262869
2002,128,0.0871,0.0238,0.031,0.0303,0.0711,0.0597,0,0.402366863905325
2002,144,0.3324,0.1381,0.0334,0.1736,0.1491,0.0747,0,-0.0759219088937093
2002,155,0.4309,0.2288,0.0437,0.2146,0.2105,0.0837,0,-0.0096447894613032
2002,169,0.6365,0.3545,0.0336,0.1481,0.2373,0.0527,0,0.231447846393358
2002,187,0.7885,0.5165,0.0234,0.1086,0.3223,0.0381,0,0.49593873288466
2002,205,0.7852,0.581,0.032,0.113,0.3683,0.0443,0,0.530438396010804
2002,212,0.7849,0.5789,0.0295,0.0902,0.3752,0.0452,0,0.612376450365277
2002,237,0.6978,0.5429,0.046,0.139,0.3815,0.0679,0,0.465898174831892
2002,244,0.606,0.3948,0.0355,0.1066,0.318,0.078,0,0.497880357983985
2002,258,0.6001,0.4201,0.0413,0.115,0.3514,0.0878,0,0.506861063464837
2002,287,0.4701,0.3524,0.0616,0.1662,0.3915,0.1411,0,0.403980634749865
2002,292,0.4287,0.2889,0.0585,0.1357,0.3131,0.1252,0,0.395276292335116
2002,308,0.4404,0.2664,0.0467,0.1461,0.2698,0.1048,0,0.297427266169752
2002,329,0.2565,0.1404,0.0512,0.1892,0.2265,0.134,0,0.0897281693528987
2002,338,NA,NA,NA,NA,NA,NA,1,NA
2002,356,0.3551,0.141,0.0357,0.1103,0.1347,0.0641,0,0.0995918367346939
2003,1,NA,NA,NA,NA,NA,NA,1,NA
2003,28,NA,NA,NA,NA,NA,NA,1,NA
2003,37,0.3802,0.1578,0.0314,0.1666,0.1519,0.0682,0,-0.0461538461538461
2003,53,0.4728,0.2117,0.0308,0.1374,0.1735,0.0621,0,0.116114506272113
2003,67,0.5244,0.255,0.032,0.1499,0.1962,0.0612,0,0.133776365212366
2003,83,0.3762,0.1276,0.0227,0.0909,0.1187,0.0538,0,0.132633587786259
2003,101,0.3889,0.1749,0.0336,0.1769,0.1714,0.0754,0,-0.0157909847832329
2003,117,0.2835,0.1181,0.0331,0.1678,0.1503,0.0839,0,-0.0550141464948129
2003,140,0.3692,0.1621,0.0285,0.1345,0.1728,0.0796,0,0.124633908232997
2003,147,0.4826,0.2312,0.0313,0.1397,0.194,0.0677,0,0.162721006892418
2003,176,0.4839,0.2973,0.0466,0.1657,0.2712,0.0943,0,0.241474021515221
2003,192,0.6505,0.4715,0.0469,0.1721,0.3396,0.0719,0,0.32734023842095
2003,208,0.7082,0.5059,0.0324,0.1071,0.3653,0.0624,0,0.546570702794242
2003,215,0.781,0.5886,0.0286,0.0901,0.3953,0.0486,0,0.628759785743716
2003,231,0.7583,0.5744,0.0332,0.0989,0.3893,0.0535,0,0.594838181073331
2003,247,0.6764,0.4838,0.0309,0.0885,0.3819,0.0737,0,0.623724489795918
2003,261,0.5816,0.3769,0.0345,0.1114,0.3236,0.0856,0,0.487816091954023
2003,279,0.4652,0.3099,0.0509,0.1433,0.3198,0.1167,0,0.38112718635284
2003,302,0.4016,0.2364,0.0422,0.1342,0.2736,0.1168,0,0.341834232466895
2003,320,0.2875,0.1574,0.0599,0.1626,0.1986,0.1099,0,0.0996677740863788
2003,327,0.2593,0.1342,0.0502,0.2087,0.1986,0.1168,0,-0.0247974465995581
2003,345,0.2827,0.112,0.042,0.1696,0.125,0.0699,0,-0.151391717583164
2003,3,0.316,0.0948,0.0267,0.1012,0.0937,0.0487,0,-0.0384812724474089
2004,3,0.316,0.0948,0.0267,0.1012,0.0937,0.0487,0,-0.0384812724474089
2004,31,0.3535,0.0916,0.0159,0.1291,0.0848,0.0405,0,-0.207106124357176
2004,38,0.4546,0.1656,0.0242,0.1105,0.1323,0.0496,0,0.0897858319604613
2004,62,0.4802,0.2137,0.0292,0.1235,0.1743,0.0612,0,0.170584284754869
2004,70,0.4356,0.2182,0.0307,0.1467,0.2142,0.0842,0,0.187032418952618
2004,92,0.4527,0.2702,0.0466,0.2173,0.2596,0.0978,0,0.088697840218075
2004,101,0.6367,0.4561,0.0385,0.1999,0.3681,0.0817,0,0.29612676056338
2004,113,0.7081,0.502,0.0327,0.1328,0.3588,0.0613,0,0.459723352318959
2004,136,0.5479,0.3059,0.0259,0.1319,0.2657,0.0776,0,0.336519114688129
2004,154,0.6038,0.3877,0.0384,0.185,0.3,0.0741,0,0.237113402061856
2004,168,0.6874,0.4731,0.0294,0.1562,0.3553,0.0658,0,0.389247311827957
2004,177,0.7345,0.4884,0.027,0.1061,0.33,0.0505,0,0.513414354505847
2004,207,0.7066,0.4788,0.0279,0.0964,0.345,0.0593,0,0.563207974626189
2004,218,0.6808,0.4825,0.0328,0.1074,0.3665,0.0696,0,0.546739818527115
2004,227,0.6775,0.5111,0.0397,0.1209,0.3907,0.0751,0,0.527365129007037
2004,246,0.7208,0.5263,0.0321,0.1028,0.3785,0.0614,0,0.572823602742572
2004,257,0.6293,0.435,0.0362,0.1093,0.3512,0.0799,0,0.525298588490771
2004,282,0.5727,0.4005,0.044,0.1301,0.3497,0.095,0,0.457690704460192
2004,298,0.4985,0.313,0.0532,0.1356,0.2606,0.0872,0,0.315497223624432
2004,310,0.6102,0.3461,0.0318,0.1237,0.252,0.061,0,0.341495874367847
2004,326,0.7475,0.4582,0.0317,0.1526,0.2721,0.0393,0,0.281375088297622
2004,337,0.5824,0.3139,0.0387,0.1796,0.2164,0.0571,0,0.0929292929292929
2004,358,0.6335,0.3196,0.0261,0.1355,0.2162,0.0485,0,0.229456923514359
2005,8,NA,NA,NA,NA,NA,NA,1,NA
