"YR","DOY","LST.day","LST.night","QC.day","QC.night"
2001,1,14.61,-0.75,0,0
2001,9,11.65,2.63000000000005,0,0
2001,17,14.65,-0.46999999999997,0,0
2001,25,12.81,0.550000000000011,0,0
2001,33,15.97,2.93000000000001,0,0
2001,41,16.27,0.590000000000032,0,0
2001,49,NA,4.57000000000005,65,0
2001,57,16.53,4.69000000000005,0,0
2001,65,21.03,6.21000000000004,0,0
2001,73,22.1900000000001,9.53000000000003,0,0
2001,81,25.1300000000001,10.59,0,0
2001,89,26.49,NA,0,65
2001,97,23.45,5.33000000000004,0,0
2001,105,NA,7.13000000000005,65,0
2001,113,34.43,11.83,0,0
2001,121,36.71,13.0700000000001,0,0
2001,129,41.05,NA,0,65
2001,137,40.95,17.49,0,0
2001,145,40.81,15.87,0,0
2001,153,38.49,15.5700000000001,0,0
2001,161,40.35,NA,0,65
2001,177,NA,NA,65,2
2001,185,30.95,16.49,0,0
2001,193,29.7500000000001,14.17,0,0
2001,201,30.31,15.17,0,0
2001,209,30.09,15.6300000000001,0,0
2001,217,29.73,16.5700000000001,0,0
2001,225,30.09,15.23,0,0
2001,233,31.97,18.41,0,0
2001,241,32.1300000000001,16.17,0,0
2001,249,28.55,15.21,0,0
2001,257,29.49,15.01,0,0
2001,265,27.73,15.17,0,0
2001,273,29.31,15.09,0,0
2001,281,27.17,11.11,0,0
2001,289,25.15,10.87,0,0
2001,297,NA,8.85000000000002,65,0
2001,305,21.21,6.79000000000002,0,0
2001,313,19.47,NA,0,65
2001,321,17.09,6.63000000000005,0,0
2001,329,13.39,2.53000000000003,0,0
2001,337,12.65,4.19000000000005,0,0
2001,345,12.83,2.95000000000005,0,0
2001,353,NA,NA,2,65
2001,361,NA,NA,2,2
2002,1,NA,NA,65,65
2002,9,12.83,2.21000000000004,0,0
2002,17,12.23,0.190000000000055,0,0
2002,25,10.59,-1.26999999999998,0,0
2002,33,14.83,0.870000000000005,0,0
2002,41,18.43,4.51000000000005,0,0
2002,49,18.33,7.51000000000005,0,0
2002,57,18.59,5.17000000000002,0,0
2002,65,NA,1.43000000000001,65,0
2002,73,15.85,3.93000000000001,0,0
2002,81,29.01,11.53,0,0
2002,89,26.81,11.45,0,0
2002,97,27.85,11.39,0,0
2002,105,30.23,7.75000000000006,0,0
2002,113,NA,8.93000000000001,65,0
