"YR","DOY","LST.day","LST.night","QC.day","QC.night"
2001,1,10.89,2.57000000000005,0,0
2001,9,10.43,NA,0,65
2001,17,11.87,1.99000000000001,0,0
2001,25,11.15,3.41000000000003,0,0
2001,33,12.99,5.51000000000005,0,0
2001,41,11.99,3.85000000000002,0,0
2001,49,NA,NA,65,65
2001,57,14.47,5.37,0,0
2001,65,16.61,8.95000000000005,0,0
2001,73,19.05,12.53,0,0
2001,81,18.87,NA,0,65
2001,89,21.1900000000001,NA,0,65
2001,97,15.5700000000001,NA,0,65
2001,105,NA,NA,65,65
2001,113,23.09,12.49,0,0
2001,121,24.55,NA,0,65
2001,129,24.17,NA,0,65
2001,137,27.65,17.53,0,0
2001,145,26.15,16.95,0,0
2001,153,27.51,NA,0,65
2001,161,28.45,NA,0,65
2001,177,NA,NA,2,2
2001,185,26.21,NA,0,65
2001,193,26.5700000000001,15.95,0,0
2001,201,25.97,16.73,0,0
2001,209,26.77,17.43,0,0
2001,217,26.53,17.83,0,0
2001,225,27.85,17.93,0,0
2001,233,28.15,18.97,0,0
2001,241,27.7500000000001,17.65,0,0
2001,249,24.45,17.11,0,0
2001,257,24.15,15.83,0,0
2001,265,NA,15.2500000000001,65,0
2001,273,NA,16.53,65,0
2001,281,NA,NA,65,65
2001,289,20.39,14.15,0,0
2001,297,NA,NA,65,65
2001,305,NA,11.83,65,0
2001,313,NA,NA,65,65
2001,321,NA,7.73000000000002,65,0
2001,329,13.49,8.53000000000003,0,0
2001,337,10.65,NA,0,65
2001,345,NA,6.23000000000002,65,0
2001,353,NA,NA,2,2
2001,361,NA,NA,2,65
2002,1,NA,NA,65,65
2002,9,NA,6.17000000000002,65,0
2002,17,NA,NA,65,65
2002,25,9.71000000000004,NA,0,65
2002,33,NA,4.45000000000005,65,0
2002,41,13.67,5.67000000000002,0,0
2002,49,14.01,7.69000000000005,0,0
2002,57,15.01,8.73000000000002,0,0
2002,65,NA,5.45000000000005,65,0
2002,73,NA,NA,65,65
2002,81,NA,13.51,65,0
2002,89,20.15,13.61,0,0
2002,97,18.87,13.79,0,0
2002,105,18.27,11.41,0,0
2002,113,19.99,11.53,0,0
2002,121,21.51,12.67,0,0
2002,129,21.83,13.6300000000001,0,0
2002,137,22.17,NA,0,65
2002,145,23.11,NA,0,65
2002,153,26.99,18.51,0,0
2002,161,25.33,16.95,0,0
2002,169,26.65,17.33,0,0
2002,177,26.31,18.65,0,0
2002,185,29.29,19.79,0,0
2002,193,26.27,17.79,0,0
2002,201,25.85,17.55,0,0
2002,209,NA,16.79,65,0
2002,217,28.95,18.55,0,0
2002,225,24.99,17.31,0,0
2002,233,25.51,16.95,0,0
2002,241,27.73,17.35,0,0
2002,249,26.47,NA,0,65
2002,257,NA,17.17,65,0
2002,265,26.17,17.31,0,0
2002,273,24.41,14.51,0,0
2002,281,23.33,15.53,0,0
2002,289,NA,13.43,65,0
2002,297,NA,11.33,65,0
2002,305,NA,8.05000000000001,65,0
2002,313,NA,NA,65,65
2002,321,NA,9.65000000000003,65,0
2002,329,NA,5.73000000000002,65,0
2002,337,NA,NA,65,65
2002,345,NA,NA,65,65
2002,353,NA,NA,65,65
2002,361,11.23,NA,0,65
2003,1,NA,6.81,65,0
2003,9,12.1900000000001,5.99000000000001,0,0
2003,17,NA,NA,2,65
2003,25,NA,NA,65,65
2003,33,13.05,6.09000000000003,0,0
2003,41,10.6900000000001,3.01000000000005,0,0
2003,49,14.87,7.97000000000003,0,0
2003,57,NA,8.71000000000004,65,0
2003,65,18.15,10.7500000000001,0,0
2003,73,16.2500000000001,NA,0,65
2003,81,17.85,12.03,0,0
2003,89,17.17,10.21,0,0
2003,97,20.49,11.85,0,0
2003,105,17.53,NA,0,65
2003,113,NA,NA,65,65
2003,121,17.95,NA,0,65
2003,129,21.53,12.45,0,0
2003,137,24.61,16.0700000000001,0,0
2003,145,26.93,17.33,0,0
2003,153,24.79,17.2500000000001,0,0
2003,161,24.41,16.31,0,0
2003,169,25.89,NA,0,65
2003,177,28.01,19.6300000000001,0,0
2003,185,27.93,18.5700000000001,0,0
2003,193,29.61,20.67,0,0
2003,201,27.59,NA,0,65
2003,209,23.27,19.01,0,0
2003,217,26.89,NA,0,65
2003,225,26.97,17.59,0,0
2003,233,26.01,18.21,0,0
2003,241,NA,18.83,65,0
2003,249,26.37,17.23,0,0
2003,257,27.65,17.77,0,0
2003,265,NA,16.97,65,0
2003,273,24.15,15.77,0,0
2003,281,23.47,14.33,0,0
2003,289,23.77,15.81,0,0
2003,297,22.83,13.87,0,0
2003,305,NA,NA,65,65
2003,313,NA,NA,65,65
2003,321,NA,8.09000000000003,65,0
2003,329,14.93,5.49000000000001,0,0
2003,337,NA,NA,65,65
2003,345,NA,NA,65,65
2003,353,NA,NA,65,2
2003,361,9.75000000000006,NA,0,65
2004,1,NA,3.55000000000001,65,0
2004,9,NA,NA,2,65
2004,17,NA,4.41000000000003,65,0
2004,25,11.1300000000001,NA,0,65
2004,33,11.65,6.63000000000005,0,0
2004,41,NA,5.99000000000001,65,0
2004,49,14.47,NA,0,2
2004,57,12.81,NA,0,65
2004,65,17.81,11.93,0,0
2004,73,NA,13.65,65,0
2004,81,NA,12.1900000000001,65,0
2004,89,NA,NA,65,65
2004,97,20.29,13.09,0,0
2004,105,NA,NA,65,65
2004,113,24.21,15.41,0,0
