date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2012193,2012-07-11,MOD13Q1,250m_16_days_NDVI,0.7970,0.7970,0.7970,0.0000,0.7970,0.0000,0.0000,1,1,100.00
A2012209,2012-07-27,MOD13Q1,250m_16_days_NDVI,0.7869,0.7869,0.7869,0.0000,0.7869,0.0000,0.0000,1,1,100.00
A2012225,2012-08-12,MOD13Q1,250m_16_days_NDVI,0.7522,0.7522,0.7522,0.0000,0.7522,0.0000,0.0000,1,1,100.00
A2012241,2012-08-28,MOD13Q1,250m_16_days_NDVI,0.7314,0.7314,0.7314,0.0000,0.7314,0.0000,0.0000,1,1,100.00
A2012257,2012-09-13,MOD13Q1,250m_16_days_NDVI,0.6344,0.6344,0.6344,0.0000,0.6344,0.0000,0.0000,1,1,100.00
A2012273,2012-09-29,MOD13Q1,250m_16_days_NDVI,0.4752,0.4752,0.4752,0.0000,0.4752,0.0000,0.0000,1,1,100.00
A2012289,2012-10-15,MOD13Q1,250m_16_days_NDVI,0.4105,0.4105,0.4105,0.0000,0.4105,0.0000,0.0000,1,1,100.00
A2012305,2012-10-31,MOD13Q1,250m_16_days_NDVI,0.4117,0.4117,0.4117,0.0000,0.4117,0.0000,0.0000,1,1,100.00
A2012321,2012-11-16,MOD13Q1,250m_16_days_NDVI,0.3382,0.3382,0.3382,0.0000,0.3382,0.0000,0.0000,1,1,100.00
A2012337,2012-12-02,MOD13Q1,250m_16_days_NDVI,0.3436,0.3436,0.3436,0.0000,0.3436,0.0000,0.0000,1,1,100.00
A2012353,2012-12-18,MOD13Q1,250m_16_days_NDVI,0.3265,0.3265,0.3265,0.0000,0.3265,0.0000,0.0000,1,1,100.00
A2013001,2013-01-01,MOD13Q1,250m_16_days_NDVI,0.4391,0.4391,0.4391,0.0000,0.4391,0.0000,0.0000,1,1,100.00
A2013017,2013-01-17,MOD13Q1,250m_16_days_NDVI,0.5055,0.5055,0.5055,0.0000,0.5055,0.0000,0.0000,1,1,100.00
A2013033,2013-02-02,MOD13Q1,250m_16_days_NDVI,0.4926,0.4926,0.4926,0.0000,0.4926,0.0000,0.0000,1,1,100.00
A2013049,2013-02-18,MOD13Q1,250m_16_days_NDVI,0.5632,0.5632,0.5632,0.0000,0.5632,0.0000,0.0000,1,1,100.00
A2013065,2013-03-06,MOD13Q1,250m_16_days_NDVI,0.5970,0.5970,0.5970,0.0000,0.5970,0.0000,0.0000,1,1,100.00
A2013081,2013-03-22,MOD13Q1,250m_16_days_NDVI,0.6504,0.6504,0.6504,0.0000,0.6504,0.0000,0.0000,1,1,100.00
A2013097,2013-04-07,MOD13Q1,250m_16_days_NDVI,0.6643,0.6643,0.6643,0.0000,0.6643,0.0000,0.0000,1,1,100.00
A2013113,2013-04-23,MOD13Q1,250m_16_days_NDVI,0.6483,0.6483,0.6483,0.0000,0.6483,0.0000,0.0000,1,1,100.00
A2013129,2013-05-09,MOD13Q1,250m_16_days_NDVI,0.4233,0.4233,0.4233,0.0000,0.4233,0.0000,0.0000,1,1,100.00
A2013145,2013-05-25,MOD13Q1,250m_16_days_NDVI,0.3216,0.3216,0.3216,0.0000,0.3216,0.0000,0.0000,1,1,100.00
A2013161,2013-06-10,MOD13Q1,250m_16_days_NDVI,0.3154,0.3154,0.3154,0.0000,0.3154,0.0000,0.0000,1,1,100.00
